Back to Contents,Data 1: Refiner and Blender Inputs of Fuel Ethanol ,,,,,,
Sourcekey,W_EPOOXE_YIR_NUS_MBBLD,W_EPOOXE_YIR_R10_MBBLD,W_EPOOXE_YIR_R20_MBBLD,W_EPOOXE_YIR_R30_MBBLD,W_EPOOXE_YIR_R40_MBBLD,W_EPOOXE_YIR_R50_MBBLD,
Date,Weekly U.S. Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),Weekly East Coast (PADD 1) Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),Weekly Midwest (PADD 2) Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),Weekly Gulf Coast (PADD 3) Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),Weekly Rocky Mountain (PADD 4) Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),Weekly West Coast (PADD 5) Refiner and Blender Net Input of Fuel Ethanol  (Thousand Barrels per Day),
"Jun 04, 2010",753,293,212,101,15,132,
"Jun 11, 2010",758,299,208,102,15,134,
"Jun 18, 2010",779,302,219,104,15,139,
"Jun 25, 2010",783,307,221,105,16,134,
"Jul 02, 2010",809,323,228,108,17,134,
"Jul 09, 2010",779,301,223,105,16,135,
"Jul 16, 2010",777,306,218,102,17,135,
"Jul 23, 2010",799,314,226,104,17,138,
"Jul 30, 2010",796,311,227,103,17,137,
"Aug 06, 2010",790,306,224,103,18,139,
"Aug 13, 2010",794,310,224,107,17,137,
"Aug 20, 2010",810,315,232,107,17,140,
"Aug 27, 2010",799,309,229,106,16,139,
"Sep 03, 2010",793,319,218,105,16,136,
"Sep 10, 2010",779,311,210,107,15,137,
"Sep 17, 2010",768,305,207,106,15,136,
"Sep 24, 2010",802,314,225,108,17,138,
"Oct 01, 2010",793,303,222,112,17,138,
"Oct 08, 2010",815,310,225,115,17,148,
"Oct 15, 2010",811,315,216,115,17,149,
"Oct 22, 2010",817,315,219,117,17,148,
"Oct 29, 2010",803,312,215,115,16,145,
"Nov 05, 2010",809,313,217,113,17,149,
"Nov 12, 2010",800,312,210,111,17,149,
"Nov 19, 2010",801,307,217,113,18,146,
"Nov 26, 2010",755,290,194,111,17,143,
"Dec 03, 2010",807,299,236,111,17,144,
"Dec 10, 2010",814,314,223,114,18,144,
"Dec 17, 2010",846,349,220,115,17,145,
"Dec 24, 2010",825,324,218,119,18,146,
